Title,Genre,Rating,Votes,Runtime
Stowaway,"
Drama, Sci-Fi, Thriller            ",5.6,36937,116.0
The Nice Guys,"
Action, Comedy, Crime            ",7.4,295435,116.0
The Snowman,"
Crime, Drama, Thriller            ",5.1,60354,119.0
Moonrise Kingdom,"
Comedy, Drama, Romance            ",7.8,328550,94.0
Contagion,"
Drama, Thriller            ",6.7,290444,106.0
Nashville,"
Drama, Music, Romance            ",7.7,23735,43.0
This Is England,"
Crime, Drama            ",7.7,117889,101.0
El hoyo,"
Horror, Sci-Fi, Thriller            ",7.0,183495,94.0
Scream,"
Comedy, Crime, Drama            ",7.1,35660,45.0
Halston,"
Biography, Drama            ",7.5,10460,240.0
Castle Rock,"
Drama, Fantasy, Horror            ",7.6,40731,60.0
Misfits,"
Comedy, Drama, Fantasy            ",8.2,95735,60.0
Medici,"
Biography, Drama, History            ",7.9,16659,60.0
I'm Thinking of Ending Things,"
Drama, Thriller            ",6.6,71640,134.0
Willy Wonka & the Chocolate Factory,"
Family, Fantasy, Musical            ",7.8,186202,100.0
Fantasy Island,"
Action, Adventure, Fantasy            ",4.9,41744,109.0
Doc Martin,"
Comedy, Drama, Romance            ",8.3,13580,46.0
Homefront,"
Action, Crime, Thriller            ",6.5,113476,100.0
The Power of the Dog,"
Drama, Romance, Western            ",0.0,0,125.0
Dead Poets Society,"
Comedy, Drama            ",8.1,443357,128.0
Contratiempo,"
Crime, Drama, Mystery            ",8.1,157061,106.0
There's Something About Mary,"
Comedy, Romance            ",7.1,298729,119.0
Trailer Park Boys,"
Comedy, Crime            ",8.5,38861,30.0
Binsenjo,"
Comedy, Crime, Romance            ",8.5,7888,80.0
Full House,"
Comedy, Drama, Family            ",6.7,54419,22.0
The OA,"
Drama, Fantasy, Mystery            ",7.8,94862,60.0
Lucy,"
Action, Sci-Fi, Thriller            ",6.4,462122,89.0
Will & Grace,"
Comedy, Romance            ",7.2,52269,22.0
Luke Cage,"
Action, Crime, Drama            ",7.3,120187,55.0
GLOW,"
Comedy, Drama, Sport            ",8.0,42221,35.0
Wet Hot American Summer: Ten Years Later,"
Comedy            ",6.9,7784,216.0
The Mummy,"
Action, Adventure, Fantasy            ",5.4,177592,110.0
When They See Us,"
Biography, Crime, Drama            ",8.9,102201,296.0
22 July,"
Crime, Drama, History            ",6.8,30905,143.0
When Calls the Heart,"
Drama, Family, Romance            ",8.1,11306,43.0
A Series of Unfortunate Events,"
Adventure, Comedy, Drama            ",7.8,55753,50.0
Birdman or (The Unexpected Virtue of Ignorance),"
Comedy, Drama            ",7.7,595946,119.0
RuPaul's Drag Race All Stars,"
Game-Show, Reality-TV            ",8.5,6644,60.0
Sophie: A Murder in West Cork,"
Documentary, Crime, History            ",6.9,3235,164.0
